problem,test_type,parameter_name,parameter_value,best_compliance,final_compliance,best_step,volume_fraction,volume_violation,time_sec,config,design_stats,error,artifacts,checkpoint
cantilever_beam_two_point_256x192_0.15,hidden_layers,hidden_layers,"[16, 16]",210.60752060267316,210.60752060267316,400,0.15000795809029013,7.95809029013883e-06,2886.447325852001,"{'kan_layers': [16, 16], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [192, 256], 'min': 0.0, 'max': 0.9999999999999876, 'mean': 0.15000795809029013, 'std': 0.33825970266182426, 'active_mean': 0.15000795809029013, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/hidden_layers/topologies/cantilever_beam_two_point_256x192_0.15_hidden_layers_16x16_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/hidden_layers/topologies/cantilever_beam_two_point_256x192_0.15_hidden_layers_16x16_topology.png'}","{'problem': 'cantilever_beam_two_point_256x192_0.15', 'test_type': 'hidden_layers', 'parameter_value': [16, 16], 'completed_at': '2026-07-07T20:13:42Z'}"
cantilever_beam_two_point_256x192_0.15,hidden_layers,hidden_layers,"[32, 32]",206.0203745686797,206.0203745686797,400,0.15000927088822008,9.270888220086482e-06,5380.366577256937,"{'kan_layers': [32, 32], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [192, 256], 'min': 0.0, 'max': 0.9999999999988989, 'mean': 0.15000927088822008, 'std': 0.3380193546508131, 'active_mean': 0.15000927088822008, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/hidden_layers/topologies/cantilever_beam_two_point_256x192_0.15_hidden_layers_32x32_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/hidden_layers/topologies/cantilever_beam_two_point_256x192_0.15_hidden_layers_32x32_topology.png'}","{'problem': 'cantilever_beam_two_point_256x192_0.15', 'test_type': 'hidden_layers', 'parameter_value': [32, 32], 'completed_at': '2026-07-07T19:25:36Z'}"
cantilever_beam_two_point_256x192_0.15,hidden_layers,hidden_layers,"[64, 64]",206.05964239838625,206.05964239838625,400,0.15000871635752203,8.716357522031704e-06,8924.659257189836,"{'kan_layers': [64, 64], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [192, 256], 'min': 0.0, 'max': 0.9999999999997637, 'mean': 0.15000871635752203, 'std': 0.33804065538987077, 'active_mean': 0.15000871635752203, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/hidden_layers/topologies/cantilever_beam_two_point_256x192_0.15_hidden_layers_64x64_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/cantilever_beam_two_point_256x192_0.15/hidden_layers/topologies/cantilever_beam_two_point_256x192_0.15_hidden_layers_64x64_topology.png'}","{'problem': 'cantilever_beam_two_point_256x192_0.15', 'test_type': 'hidden_layers', 'parameter_value': [64, 64], 'completed_at': '2026-07-07T20:24:40Z'}"
mbb_beam_384x128_0.3,grid,grid,10,301.82668223933405,301.82668223933405,400,0.3000109446766123,1.0944676612334447e-05,7263.2561705170665,"{'kan_layers': [64, 64], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [128, 384], 'min': 0.0, 'max': 1.0, 'mean': 0.3000109446766123, 'std': 0.44536645190699276, 'active_mean': 0.3000109446766123, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_10_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_10_topology.png'}","{'problem': 'mbb_beam_384x128_0.3', 'test_type': 'grid', 'parameter_value': 10, 'completed_at': '2026-07-07T10:16:07Z'}"
mbb_beam_384x128_0.3,grid,grid,4,301.8785212411966,301.8785212411966,400,0.30000844948366673,8.449483666739255e-06,4136.588871032931,"{'kan_layers': [64, 64], 'grid': 4, 'k': 3, 'max_steps': 400}","{'shape': [128, 384], 'min': 0.0, 'max': 1.0, 'mean': 0.30000844948366673, 'std': 0.44545437543434657, 'active_mean': 0.30000844948366673, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_4_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_4_topology.png'}","{'problem': 'mbb_beam_384x128_0.3', 'test_type': 'grid', 'parameter_value': 4, 'completed_at': '2026-07-07T14:53:20Z'}"
mbb_beam_384x128_0.3,grid,grid,6,301.85170772306014,301.85170772306014,400,0.3000098604398198,9.860439819819877e-06,5885.198723807,"{'kan_layers': [64, 64], 'grid': 6, 'k': 3, 'max_steps': 400}","{'shape': [128, 384], 'min': 0.0, 'max': 1.0, 'mean': 0.3000098604398198, 'std': 0.4455199734009389, 'active_mean': 0.3000098604398198, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_6_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_6_topology.png'}","{'problem': 'mbb_beam_384x128_0.3', 'test_type': 'grid', 'parameter_value': 6, 'completed_at': '2026-07-07T13:44:12Z'}"
mbb_beam_384x128_0.3,grid,grid,8,301.83211705635347,301.83211705635347,400,0.3000105891085944,1.058910859441653e-05,6592.190073437057,"{'kan_layers': [64, 64], 'grid': 8, 'k': 3, 'max_steps': 400}","{'shape': [128, 384], 'min': 0.0, 'max': 1.0, 'mean': 0.3000105891085944, 'std': 0.4455001369636455, 'active_mean': 0.3000105891085944, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_8_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/grid/topologies/mbb_beam_384x128_0.3_grid_8_topology.png'}","{'problem': 'mbb_beam_384x128_0.3', 'test_type': 'grid', 'parameter_value': 8, 'completed_at': '2026-07-07T12:06:02Z'}"
mbb_beam_384x128_0.3,hidden_layers,hidden_layers,"[16, 16]",302.0148326585498,302.0148326585498,400,0.3000095809858181,9.58098581810285e-06,2570.1539662489668,"{'kan_layers': [16, 16], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [128, 384], 'min': 7.912929641795816e-12, 'max': 1.0, 'mean': 0.3000095809858181, 'std': 0.4454573587472107, 'active_mean': 0.3000095809858181, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/hidden_layers/topologies/mbb_beam_384x128_0.3_hidden_layers_16x16_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/hidden_layers/topologies/mbb_beam_384x128_0.3_hidden_layers_16x16_topology.png'}","{'problem': 'mbb_beam_384x128_0.3', 'test_type': 'hidden_layers', 'parameter_value': [16, 16], 'completed_at': '2026-07-07T07:43:35Z'}"
mbb_beam_384x128_0.3,hidden_layers,hidden_layers,"[32, 32]",302.1420406148124,302.1420406148124,400,0.3000087750379657,8.775037965702559e-06,4204.100609502988,"{'kan_layers': [32, 32], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [128, 384], 'min': 0.0, 'max': 1.0, 'mean': 0.3000087750379657, 'std': 0.44554373581539525, 'active_mean': 0.3000087750379657, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/hidden_layers/topologies/mbb_beam_384x128_0.3_hidden_layers_32x32_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/hidden_layers/topologies/mbb_beam_384x128_0.3_hidden_layers_32x32_topology.png'}","{'problem': 'mbb_beam_384x128_0.3', 'test_type': 'hidden_layers', 'parameter_value': [32, 32], 'completed_at': '2026-07-07T07:00:44Z'}"
mbb_beam_384x128_0.3,hidden_layers,hidden_layers,"[64, 64]",301.82668223933405,301.82668223933405,400,0.3000109446766123,1.0944676612334447e-05,7531.70917972899,"{'kan_layers': [64, 64], 'grid': 10, 'k': 3, 'max_steps': 400}","{'shape': [128, 384], 'min': 0.0, 'max': 1.0, 'mean': 0.3000109446766123, 'std': 0.44536645190699276, 'active_mean': 0.3000109446766123, 'active_count': 49152}",,"{'design_npy': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/hidden_layers/topologies/mbb_beam_384x128_0.3_hidden_layers_64x64_design.npy', 'topology_png': '/home/hyuzukirmizi_umass_edu/kan-cnn-topology-optimization/5.2_neural_size/results/mbb_beam_384x128_0.3/hidden_layers/topologies/mbb_beam_384x128_0.3_hidden_layers_64x64_topology.png'}","{'problem': 'mbb_beam_384x128_0.3', 'test_type': 'hidden_layers', 'parameter_value': [64, 64], 'completed_at': '2026-07-07T05:50:39Z'}"
